,region_code,description,dt,region,viz_group_code,median_q,q_pct_delta,median_psf,psf_pct_delta,listings,listings_pct_delta,median_lifetime,median_psf_history,listings_history,median_q_history
81,E,NL | 1 BR/ Studio,2024-09-24,East Coast (D15-16),AN1,1198888.0,0.0007412353923206272,2058.0,-0.003389830508474523,615,-0.022257551669316422,21.0,"[{'time': '2024-09-18', 'value': 2058.0}
 {'time': '2024-09-19', 'value': 2067.0}
 {'time': '2024-09-20', 'value': 2075.0}
 {'time': '2024-09-21', 'value': 2075.0}
 {'time': '2024-09-22', 'value': 2075.0}
 {'time': '2024-09-23', 'value': 2065.0}
 {'time': '2024-09-24', 'value': 2058.0}]","[{'time': '2024-09-18', 'value': 625} {'time': '2024-09-19', 'value': 629}
 {'time': '2024-09-20', 'value': 631} {'time': '2024-09-21', 'value': 631}
 {'time': '2024-09-22', 'value': 622} {'time': '2024-09-23', 'value': 623}
 {'time': '2024-09-24', 'value': 615}]","[{'time': '2024-09-18', 'value': 1198000.0}
 {'time': '2024-09-19', 'value': 1198000.0}
 {'time': '2024-09-20', 'value': 1198000.0}
 {'time': '2024-09-21', 'value': 1199999.0}
 {'time': '2024-09-22', 'value': 1198444.0}
 {'time': '2024-09-23', 'value': 1199999.0}
 {'time': '2024-09-24', 'value': 1198888.0}]"
82,F,NL | 1 BR/ Studio,2024-09-24,Changi / Pasir Ris (D17-18),AN1,822777.0,-0.006307971014492764,1715.0,0.0029239766081872176,271,-0.014545454545454528,21.0,"[{'time': '2024-09-18', 'value': 1701.0}
 {'time': '2024-09-19', 'value': 1701.0}
 {'time': '2024-09-20', 'value': 1712.5}
 {'time': '2024-09-21', 'value': 1712.5}
 {'time': '2024-09-22', 'value': 1710.0}
 {'time': '2024-09-23', 'value': 1715.0}
 {'time': '2024-09-24', 'value': 1715.0}]","[{'time': '2024-09-18', 'value': 275} {'time': '2024-09-19', 'value': 274}
 {'time': '2024-09-20', 'value': 272} {'time': '2024-09-21', 'value': 270}
 {'time': '2024-09-22', 'value': 269} {'time': '2024-09-23', 'value': 268}
 {'time': '2024-09-24', 'value': 271}]","[{'time': '2024-09-18', 'value': 828888.0}
 {'time': '2024-09-19', 'value': 828444.0}
 {'time': '2024-09-20', 'value': 828888.0}
 {'time': '2024-09-21', 'value': 826500.0}
 {'time': '2024-09-22', 'value': 822777.0}
 {'time': '2024-09-23', 'value': 821388.5}
 {'time': '2024-09-24', 'value': 822777.0}]"
83,G,NL | 1 BR/ Studio,2024-09-24,Serangoon / Thomson (D19-20),AN1,920000.0,0.0,1793.0,0.0022358859698154987,552,-0.019538188277087087,21.0,"[{'time': '2024-09-18', 'value': 1790.0}
 {'time': '2024-09-19', 'value': 1789.5}
 {'time': '2024-09-20', 'value': 1792.0}
 {'time': '2024-09-21', 'value': 1792.0}
 {'time': '2024-09-22', 'value': 1793.0}
 {'time': '2024-09-23', 'value': 1793.0}
 {'time': '2024-09-24', 'value': 1793.0}]","[{'time': '2024-09-18', 'value': 563} {'time': '2024-09-19', 'value': 562}
 {'time': '2024-09-20', 'value': 563} {'time': '2024-09-21', 'value': 568}
 {'time': '2024-09-22', 'value': 560} {'time': '2024-09-23', 'value': 555}
 {'time': '2024-09-24', 'value': 552}]","[{'time': '2024-09-18', 'value': 920000.0}
 {'time': '2024-09-19', 'value': 924000.0}
 {'time': '2024-09-20', 'value': 928000.0}
 {'time': '2024-09-21', 'value': 920000.0}
 {'time': '2024-09-22', 'value': 928000.0}
 {'time': '2024-09-23', 'value': 920000.0}
 {'time': '2024-09-24', 'value': 920000.0}]"
84,H,NL | 1 BR/ Studio,2024-09-24,West (D22-24),AN1,900000.0,0.0,1782.0,0.0,187,-0.010582010582010581,21.0,"[{'time': '2024-09-18', 'value': 1782.0}
 {'time': '2024-09-19', 'value': 1824.0}
 {'time': '2024-09-20', 'value': 1824.0}
 {'time': '2024-09-21', 'value': 1816.5}
 {'time': '2024-09-22', 'value': 1782.0}
 {'time': '2024-09-23', 'value': 1795.5}
 {'time': '2024-09-24', 'value': 1782.0}]","[{'time': '2024-09-18', 'value': 190} {'time': '2024-09-19', 'value': 187}
 {'time': '2024-09-20', 'value': 191} {'time': '2024-09-21', 'value': 190}
 {'time': '2024-09-22', 'value': 184} {'time': '2024-09-23', 'value': 186}
 {'time': '2024-09-24', 'value': 187}]","[{'time': '2024-09-18', 'value': 900000.0}
 {'time': '2024-09-19', 'value': 900000.0}
 {'time': '2024-09-20', 'value': 900000.0}
 {'time': '2024-09-21', 'value': 900000.0}
 {'time': '2024-09-22', 'value': 900000.0}
 {'time': '2024-09-23', 'value': 900000.0}
 {'time': '2024-09-24', 'value': 900000.0}]"
85,I,NL | 1 BR/ Studio,2024-09-24,North (D25-28),AN1,888000.0,0.0,1682.5,0.0032796660703637848,188,-0.005291005291005346,21.0,"[{'time': '2024-09-18', 'value': 1680.0}
 {'time': '2024-09-19', 'value': 1685.0}
 {'time': '2024-09-20', 'value': 1685.0}
 {'time': '2024-09-21', 'value': 1689.5}
 {'time': '2024-09-22', 'value': 1680.0}
 {'time': '2024-09-23', 'value': 1685.0}
 {'time': '2024-09-24', 'value': 1682.5}]","[{'time': '2024-09-18', 'value': 191} {'time': '2024-09-19', 'value': 187}
 {'time': '2024-09-20', 'value': 191} {'time': '2024-09-21', 'value': 190}
 {'time': '2024-09-22', 'value': 189} {'time': '2024-09-23', 'value': 189}
 {'time': '2024-09-24', 'value': 188}]","[{'time': '2024-09-18', 'value': 888000.0}
 {'time': '2024-09-19', 'value': 888000.0}
 {'time': '2024-09-20', 'value': 888000.0}
 {'time': '2024-09-21', 'value': 888000.0}
 {'time': '2024-09-22', 'value': 888000.0}
 {'time': '2024-09-23', 'value': 888000.0}
 {'time': '2024-09-24', 'value': 888000.0}]"
87,A,NL | 2 BR,2024-09-24,City & South West (D01-08),AN2,1750000.0,0.0,2194.0,0.0,2542,-0.0058662495111458934,21.0,"[{'time': '2024-09-18', 'value': 2198.5}
 {'time': '2024-09-19', 'value': 2199.0}
 {'time': '2024-09-20', 'value': 2199.0}
 {'time': '2024-09-21', 'value': 2200.0}
 {'time': '2024-09-22', 'value': 2200.0}
 {'time': '2024-09-23', 'value': 2199.0}
 {'time': '2024-09-24', 'value': 2194.0}]","[{'time': '2024-09-18', 'value': 2558}
 {'time': '2024-09-19', 'value': 2571}
 {'time': '2024-09-20', 'value': 2589}
 {'time': '2024-09-21', 'value': 2591}
 {'time': '2024-09-22', 'value': 2571}
 {'time': '2024-09-23', 'value': 2575}
 {'time': '2024-09-24', 'value': 2542}]","[{'time': '2024-09-18', 'value': 1755000.0}
 {'time': '2024-09-19', 'value': 1760000.0}
 {'time': '2024-09-20', 'value': 1760000.0}
 {'time': '2024-09-21', 'value': 1760000.0}
 {'time': '2024-09-22', 'value': 1760000.0}
 {'time': '2024-09-23', 'value': 1760000.0}
 {'time': '2024-09-24', 'value': 1750000.0}]"
88,B,NL | 2 BR,2024-09-24,Orchard / Holland (D09-10),AN2,2228000.0,-0.0058009817045961976,2778.0,-0.002871500358937573,1675,-0.03680276020701556,21.0,"[{'time': '2024-09-18', 'value': 2778.0}
 {'time': '2024-09-19', 'value': 2778.0}
 {'time': '2024-09-20', 'value': 2778.0}
 {'time': '2024-09-21', 'value': 2776.0}
 {'time': '2024-09-22', 'value': 2776.0}
 {'time': '2024-09-23', 'value': 2786.0}
 {'time': '2024-09-24', 'value': 2778.0}]","[{'time': '2024-09-18', 'value': 1741}
 {'time': '2024-09-19', 'value': 1746}
 {'time': '2024-09-20', 'value': 1742}
 {'time': '2024-09-21', 'value': 1734}
 {'time': '2024-09-22', 'value': 1720}
 {'time': '2024-09-23', 'value': 1710}
 {'time': '2024-09-24', 'value': 1675}]","[{'time': '2024-09-18', 'value': 2238313.0}
 {'time': '2024-09-19', 'value': 2231500.0}
 {'time': '2024-09-20', 'value': 2238156.5}
 {'time': '2024-09-21', 'value': 2238156.5}
 {'time': '2024-09-22', 'value': 2238156.5}
 {'time': '2024-09-23', 'value': 2241000.0}
 {'time': '2024-09-24', 'value': 2228000.0}]"
89,C,NL | 2 BR,2024-09-24,"Newton / Bt. Timah (D11, 21)",AN2,1780000.0,0.012283894449499622,2323.0,0.00043066322136087187,741,0.026315789473684292,21.0,"[{'time': '2024-09-18', 'value': 2323.0}
 {'time': '2024-09-19', 'value': 2323.0}
 {'time': '2024-09-20', 'value': 2323.0}
 {'time': '2024-09-21', 'value': 2323.0}
 {'time': '2024-09-22', 'value': 2323.0}
 {'time': '2024-09-23', 'value': 2323.0}
 {'time': '2024-09-24', 'value': 2323.0}]","[{'time': '2024-09-18', 'value': 737} {'time': '2024-09-19', 'value': 742}
 {'time': '2024-09-20', 'value': 744} {'time': '2024-09-21', 'value': 742}
 {'time': '2024-09-22', 'value': 740} {'time': '2024-09-23', 'value': 743}
 {'time': '2024-09-24', 'value': 741}]","[{'time': '2024-09-18', 'value': 1750000.0}
 {'time': '2024-09-19', 'value': 1750000.0}
 {'time': '2024-09-20', 'value': 1750000.0}
 {'time': '2024-09-21', 'value': 1750000.0}
 {'time': '2024-09-22', 'value': 1750000.0}
 {'time': '2024-09-23', 'value': 1777000.0}
 {'time': '2024-09-24', 'value': 1780000.0}]"
90,D,NL | 2 BR,2024-09-24,Balestier / Geylang (D12-14),AN2,1429444.0,-0.0003888111888111778,1930.0,-0.006690684508491973,1008,-0.01850048685491723,21.0,"[{'time': '2024-09-18', 'value': 1941.0}
 {'time': '2024-09-19', 'value': 1943.0}
 {'time': '2024-09-20', 'value': 1930.5}
 {'time': '2024-09-21', 'value': 1931.0}
 {'time': '2024-09-22', 'value': 1930.0}
 {'time': '2024-09-23', 'value': 1930.0}
 {'time': '2024-09-24', 'value': 1930.0}]","[{'time': '2024-09-18', 'value': 1021}
 {'time': '2024-09-19', 'value': 1025}
 {'time': '2024-09-20', 'value': 1028}
 {'time': '2024-09-21', 'value': 1029}
 {'time': '2024-09-22', 'value': 1016}
 {'time': '2024-09-23', 'value': 1020}
 {'time': '2024-09-24', 'value': 1008}]","[{'time': '2024-09-18', 'value': 1428000.0}
 {'time': '2024-09-19', 'value': 1428000.0}
 {'time': '2024-09-20', 'value': 1420000.0}
 {'time': '2024-09-21', 'value': 1420000.0}
 {'time': '2024-09-22', 'value': 1420000.0}
 {'time': '2024-09-23', 'value': 1424000.0}
 {'time': '2024-09-24', 'value': 1429444.0}]"
91,E,NL | 2 BR,2024-09-24,East Coast (D15-16),AN2,1790000.0,0.011871113623516116,2100.0,0.000238151940938236,999,-0.008928571428571397,21.0,"[{'time': '2024-09-18', 'value': 2100.0}
 {'time': '2024-09-19', 'value': 2100.0}
 {'time': '2024-09-20', 'value': 2095.0}
 {'time': '2024-09-21', 'value': 2102.0}
 {'time': '2024-09-22', 'value': 2100.0}
 {'time': '2024-09-23', 'value': 2110.0}
 {'time': '2024-09-24', 'value': 2100.0}]","[{'time': '2024-09-18', 'value': 1018}
 {'time': '2024-09-19', 'value': 1019}
 {'time': '2024-09-20', 'value': 1033}
 {'time': '2024-09-21', 'value': 1036}
 {'time': '2024-09-22', 'value': 1029}
 {'time': '2024-09-23', 'value': 1029}
 {'time': '2024-09-24', 'value': 999}]","[{'time': '2024-09-18', 'value': 1769000.0}
 {'time': '2024-09-19', 'value': 1769000.0}
 {'time': '2024-09-20', 'value': 1769000.0}
 {'time': '2024-09-21', 'value': 1769000.0}
 {'time': '2024-09-22', 'value': 1780000.0}
 {'time': '2024-09-23', 'value': 1798000.0}
 {'time': '2024-09-24', 'value': 1790000.0}]"
92,F,NL | 2 BR,2024-09-24,Changi / Pasir Ris (D17-18),AN2,1199944.0,-4.666666666663932e-05,1625.0,-0.016343825665859568,524,-0.01872659176029967,21.0,"[{'time': '2024-09-18', 'value': 1652.0}
 {'time': '2024-09-19', 'value': 1649.0}
 {'time': '2024-09-20', 'value': 1650.5}
 {'time': '2024-09-21', 'value': 1649.0}
 {'time': '2024-09-22', 'value': 1641.0}
 {'time': '2024-09-23', 'value': 1635.0}
 {'time': '2024-09-24', 'value': 1625.0}]","[{'time': '2024-09-18', 'value': 540} {'time': '2024-09-19', 'value': 543}
 {'time': '2024-09-20', 'value': 540} {'time': '2024-09-21', 'value': 539}
 {'time': '2024-09-22', 'value': 528} {'time': '2024-09-23', 'value': 527}
 {'time': '2024-09-24', 'value': 524}]","[{'time': '2024-09-18', 'value': 1200000.0}
 {'time': '2024-09-19', 'value': 1200000.0}
 {'time': '2024-09-20', 'value': 1200000.0}
 {'time': '2024-09-21', 'value': 1200000.0}
 {'time': '2024-09-22', 'value': 1200000.0}
 {'time': '2024-09-23', 'value': 1199888.0}
 {'time': '2024-09-24', 'value': 1199944.0}]"
93,G,NL | 2 BR,2024-09-24,Serangoon / Thomson (D19-20),AN2,1360000.0,0.0,1826.0,-0.009224091155724312,858,0.008225616921269108,21.0,"[{'time': '2024-09-18', 'value': 1840.0}
 {'time': '2024-09-19', 'value': 1833.0}
 {'time': '2024-09-20', 'value': 1826.0}
 {'time': '2024-09-21', 'value': 1826.0}
 {'time': '2024-09-22', 'value': 1824.0}
 {'time': '2024-09-23', 'value': 1829.0}
 {'time': '2024-09-24', 'value': 1826.0}]","[{'time': '2024-09-18', 'value': 859} {'time': '2024-09-19', 'value': 864}
 {'time': '2024-09-20', 'value': 865} {'time': '2024-09-21', 'value': 860}
 {'time': '2024-09-22', 'value': 851} {'time': '2024-09-23', 'value': 860}
 {'time': '2024-09-24', 'value': 858}]","[{'time': '2024-09-18', 'value': 1360000.0}
 {'time': '2024-09-19', 'value': 1360000.0}
 {'time': '2024-09-20', 'value': 1360000.0}
 {'time': '2024-09-21', 'value': 1360000.0}
 {'time': '2024-09-22', 'value': 1360000.0}
 {'time': '2024-09-23', 'value': 1360000.0}
 {'time': '2024-09-24', 'value': 1360000.0}]"
94,H,NL | 2 BR,2024-09-24,West (D22-24),AN2,1400000.0,0.0,1898.0,0.0039672044432690345,541,-0.03392857142857142,21.0,"[{'time': '2024-09-18', 'value': 1899.0}
 {'time': '2024-09-19', 'value': 1899.0}
 {'time': '2024-09-20', 'value': 1895.0}
 {'time': '2024-09-21', 'value': 1890.0}
 {'time': '2024-09-22', 'value': 1890.0}
 {'time': '2024-09-23', 'value': 1890.0}
 {'time': '2024-09-24', 'value': 1898.0}]","[{'time': '2024-09-18', 'value': 559} {'time': '2024-09-19', 'value': 561}
 {'time': '2024-09-20', 'value': 562} {'time': '2024-09-21', 'value': 559}
 {'time': '2024-09-22', 'value': 547} {'time': '2024-09-23', 'value': 547}
 {'time': '2024-09-24', 'value': 541}]","[{'time': '2024-09-18', 'value': 1400000.0}
 {'time': '2024-09-19', 'value': 1400000.0}
 {'time': '2024-09-20', 'value': 1400000.0}
 {'time': '2024-09-21', 'value': 1400000.0}
 {'time': '2024-09-22', 'value': 1400000.0}
 {'time': '2024-09-23', 'value': 1400000.0}
 {'time': '2024-09-24', 'value': 1400000.0}]"
95,I,NL | 2 BR,2024-09-24,North (D25-28),AN2,1200000.0,0.0,1574.5,0.016462233699160667,446,-0.03253796095444683,21.0,"[{'time': '2024-09-18', 'value': 1554.0}
 {'time': '2024-09-19', 'value': 1547.0}
 {'time': '2024-09-20', 'value': 1554.0}
 {'time': '2024-09-21', 'value': 1554.0}
 {'time': '2024-09-22', 'value': 1554.0}
 {'time': '2024-09-23', 'value': 1574.0}
 {'time': '2024-09-24', 'value': 1574.5}]","[{'time': '2024-09-18', 'value': 451} {'time': '2024-09-19', 'value': 451}
 {'time': '2024-09-20', 'value': 453} {'time': '2024-09-21', 'value': 455}
 {'time': '2024-09-22', 'value': 451} {'time': '2024-09-23', 'value': 445}
 {'time': '2024-09-24', 'value': 446}]","[{'time': '2024-09-18', 'value': 1200000.0}
 {'time': '2024-09-19', 'value': 1198000.0}
 {'time': '2024-09-20', 'value': 1200000.0}
 {'time': '2024-09-21', 'value': 1199999.0}
 {'time': '2024-09-22', 'value': 1199999.0}
 {'time': '2024-09-23', 'value': 1200000.0}
 {'time': '2024-09-24', 'value': 1200000.0}]"
97,A,NL | 3 BR,2024-09-24,City & South West (D01-08),AN3,2831000.0,-0.00666666666666671,2112.0,-0.0035385704175513455,1991,-0.023061825318940188,21.0,"[{'time': '2024-09-18', 'value': 2119.0}
 {'time': '2024-09-19', 'value': 2118.5}
 {'time': '2024-09-20', 'value': 2117.0}
 {'time': '2024-09-21', 'value': 2117.0}
 {'time': '2024-09-22', 'value': 2114.0}
 {'time': '2024-09-23', 'value': 2114.0}
 {'time': '2024-09-24', 'value': 2112.0}]","[{'time': '2024-09-18', 'value': 2032}
 {'time': '2024-09-19', 'value': 2024}
 {'time': '2024-09-20', 'value': 2032}
 {'time': '2024-09-21', 'value': 2031}
 {'time': '2024-09-22', 'value': 2012}
 {'time': '2024-09-23', 'value': 2015}
 {'time': '2024-09-24', 'value': 1991}]","[{'time': '2024-09-18', 'value': 2850000.0}
 {'time': '2024-09-19', 'value': 2850000.0}
 {'time': '2024-09-20', 'value': 2850000.0}
 {'time': '2024-09-21', 'value': 2850000.0}
 {'time': '2024-09-22', 'value': 2855000.0}
 {'time': '2024-09-23', 'value': 2850000.0}
 {'time': '2024-09-24', 'value': 2831000.0}]"
98,B,NL | 3 BR,2024-09-24,Orchard / Holland (D09-10),AN3,4300000.0,-0.011494252873563204,2805.0,-0.001779359430605032,1569,-0.008843967150979126,21.0,"[{'time': '2024-09-18', 'value': 2810.0}
 {'time': '2024-09-19', 'value': 2810.0}
 {'time': '2024-09-20', 'value': 2804.5}
 {'time': '2024-09-21', 'value': 2810.0}
 {'time': '2024-09-22', 'value': 2808.5}
 {'time': '2024-09-23', 'value': 2810.0}
 {'time': '2024-09-24', 'value': 2805.0}]","[{'time': '2024-09-18', 'value': 1589}
 {'time': '2024-09-19', 'value': 1594}
 {'time': '2024-09-20', 'value': 1600}
 {'time': '2024-09-21', 'value': 1604}
 {'time': '2024-09-22', 'value': 1590}
 {'time': '2024-09-23', 'value': 1591}
 {'time': '2024-09-24', 'value': 1569}]","[{'time': '2024-09-18', 'value': 4350000.0}
 {'time': '2024-09-19', 'value': 4350000.0}
 {'time': '2024-09-20', 'value': 4315656.5}
 {'time': '2024-09-21', 'value': 4300000.0}
 {'time': '2024-09-22', 'value': 4350000.0}
 {'time': '2024-09-23', 'value': 4300000.0}
 {'time': '2024-09-24', 'value': 4300000.0}]"
99,C,NL | 3 BR,2024-09-24,"Newton / Bt. Timah (D11, 21)",AN3,2682000.0,-0.00666666666666671,2316.0,0.0,858,-0.02166476624857472,21.0,"[{'time': '2024-09-18', 'value': 2316.0}
 {'time': '2024-09-19', 'value': 2316.0}
 {'time': '2024-09-20', 'value': 2316.0}
 {'time': '2024-09-21', 'value': 2317.0}
 {'time': '2024-09-22', 'value': 2318.0}
 {'time': '2024-09-23', 'value': 2318.0}
 {'time': '2024-09-24', 'value': 2316.0}]","[{'time': '2024-09-18', 'value': 879} {'time': '2024-09-19', 'value': 883}
 {'time': '2024-09-20', 'value': 878} {'time': '2024-09-21', 'value': 876}
 {'time': '2024-09-22', 'value': 868} {'time': '2024-09-23', 'value': 866}
 {'time': '2024-09-24', 'value': 858}]","[{'time': '2024-09-18', 'value': 2700000.0}
 {'time': '2024-09-19', 'value': 2688800.0}
 {'time': '2024-09-20', 'value': 2694000.0}
 {'time': '2024-09-21', 'value': 2694000.0}
 {'time': '2024-09-22', 'value': 2698500.0}
 {'time': '2024-09-23', 'value': 2690000.0}
 {'time': '2024-09-24', 'value': 2682000.0}]"
100,D,NL | 3 BR,2024-09-24,Balestier / Geylang (D12-14),AN3,2050000.0,0.01666638563693401,1879.0,0.015675675675675738,751,-0.057716436637390234,21.0,"[{'time': '2024-09-18', 'value': 1859.0}
 {'time': '2024-09-19', 'value': 1870.0}
 {'time': '2024-09-20', 'value': 1875.0}
 {'time': '2024-09-21', 'value': 1879.0}
 {'time': '2024-09-22', 'value': 1879.0}
 {'time': '2024-09-23', 'value': 1879.0}
 {'time': '2024-09-24', 'value': 1879.0}]","[{'time': '2024-09-18', 'value': 789} {'time': '2024-09-19', 'value': 787}
 {'time': '2024-09-20', 'value': 787} {'time': '2024-09-21', 'value': 784}
 {'time': '2024-09-22', 'value': 779} {'time': '2024-09-23', 'value': 773}
 {'time': '2024-09-24', 'value': 751}]","[{'time': '2024-09-18', 'value': 2050000.0}
 {'time': '2024-09-19', 'value': 2050000.0}
 {'time': '2024-09-20', 'value': 2030000.0}
 {'time': '2024-09-21', 'value': 2050000.0}
 {'time': '2024-09-22', 'value': 2050000.0}
 {'time': '2024-09-23', 'value': 2050000.0}
 {'time': '2024-09-24', 'value': 2050000.0}]"
101,E,NL | 3 BR,2024-09-24,East Coast (D15-16),AN3,2491000.0,0.006505313345993802,2127.0,-0.0014084507042253502,1486,0.005412719891745521,21.0,"[{'time': '2024-09-18', 'value': 2127.0}
 {'time': '2024-09-19', 'value': 2122.0}
 {'time': '2024-09-20', 'value': 2132.0}
 {'time': '2024-09-21', 'value': 2132.5}
 {'time': '2024-09-22', 'value': 2133.5}
 {'time': '2024-09-23', 'value': 2130.0}
 {'time': '2024-09-24', 'value': 2127.0}]","[{'time': '2024-09-18', 'value': 1480}
 {'time': '2024-09-19', 'value': 1501}
 {'time': '2024-09-20', 'value': 1512}
 {'time': '2024-09-21', 'value': 1510}
 {'time': '2024-09-22', 'value': 1506}
 {'time': '2024-09-23', 'value': 1507}
 {'time': '2024-09-24', 'value': 1486}]","[{'time': '2024-09-18', 'value': 2474800.0}
 {'time': '2024-09-19', 'value': 2474800.0}
 {'time': '2024-09-20', 'value': 2488000.0}
 {'time': '2024-09-21', 'value': 2489444.0}
 {'time': '2024-09-22', 'value': 2488000.0}
 {'time': '2024-09-23', 'value': 2490000.0}
 {'time': '2024-09-24', 'value': 2491000.0}]"
102,F,NL | 3 BR,2024-09-24,Changi / Pasir Ris (D17-18),AN3,1580000.0,-0.01126408010012514,1441.0,-0.025693035835023692,719,-0.04515272244355906,20.0,"[{'time': '2024-09-18', 'value': 1475.0}
 {'time': '2024-09-19', 'value': 1446.0}
 {'time': '2024-09-20', 'value': 1440.5}
 {'time': '2024-09-21', 'value': 1442.0}
 {'time': '2024-09-22', 'value': 1441.0}
 {'time': '2024-09-23', 'value': 1442.0}
 {'time': '2024-09-24', 'value': 1441.0}]","[{'time': '2024-09-18', 'value': 747} {'time': '2024-09-19', 'value': 729}
 {'time': '2024-09-20', 'value': 718} {'time': '2024-09-21', 'value': 717}
 {'time': '2024-09-22', 'value': 715} {'time': '2024-09-23', 'value': 716}
 {'time': '2024-09-24', 'value': 719}]","[{'time': '2024-09-18', 'value': 1598000.0}
 {'time': '2024-09-19', 'value': 1588000.0}
 {'time': '2024-09-20', 'value': 1588000.0}
 {'time': '2024-09-21', 'value': 1588888.0}
 {'time': '2024-09-22', 'value': 1586000.0}
 {'time': '2024-09-23', 'value': 1580000.0}
 {'time': '2024-09-24', 'value': 1580000.0}]"
103,G,NL | 3 BR,2024-09-24,Serangoon / Thomson (D19-20),AN3,1848888.0,-0.0006010810810810341,1619.0,0.004965859714463061,1153,0.008748906386701671,21.0,"[{'time': '2024-09-18', 'value': 1613.0}
 {'time': '2024-09-19', 'value': 1615.0}
 {'time': '2024-09-20', 'value': 1617.0}
 {'time': '2024-09-21', 'value': 1618.0}
 {'time': '2024-09-22', 'value': 1617.0}
 {'time': '2024-09-23', 'value': 1619.0}
 {'time': '2024-09-24', 'value': 1619.0}]","[{'time': '2024-09-18', 'value': 1146}
 {'time': '2024-09-19', 'value': 1147}
 {'time': '2024-09-20', 'value': 1146}
 {'time': '2024-09-21', 'value': 1147}
 {'time': '2024-09-22', 'value': 1138}
 {'time': '2024-09-23', 'value': 1141}
 {'time': '2024-09-24', 'value': 1153}]","[{'time': '2024-09-18', 'value': 1850000.0}
 {'time': '2024-09-19', 'value': 1850000.0}
 {'time': '2024-09-20', 'value': 1850000.0}
 {'time': '2024-09-21', 'value': 1850000.0}
 {'time': '2024-09-22', 'value': 1850000.0}
 {'time': '2024-09-23', 'value': 1850000.0}
 {'time': '2024-09-24', 'value': 1848888.0}]"
104,H,NL | 3 BR,2024-09-24,West (D22-24),AN3,1838500.0,-0.006216216216216264,1662.5,-0.009827278141750995,938,-0.05823293172690758,21.0,"[{'time': '2024-09-18', 'value': 1678.0}
 {'time': '2024-09-19', 'value': 1676.5}
 {'time': '2024-09-20', 'value': 1675.0}
 {'time': '2024-09-21', 'value': 1670.5}
 {'time': '2024-09-22', 'value': 1657.0}
 {'time': '2024-09-23', 'value': 1656.5}
 {'time': '2024-09-24', 'value': 1662.5}]","[{'time': '2024-09-18', 'value': 989} {'time': '2024-09-19', 'value': 992}
 {'time': '2024-09-20', 'value': 998} {'time': '2024-09-21', 'value': 976}
 {'time': '2024-09-22', 'value': 961} {'time': '2024-09-23', 'value': 956}
 {'time': '2024-09-24', 'value': 938}]","[{'time': '2024-09-18', 'value': 1850000.0}
 {'time': '2024-09-19', 'value': 1850000.0}
 {'time': '2024-09-20', 'value': 1848500.0}
 {'time': '2024-09-21', 'value': 1843000.0}
 {'time': '2024-09-22', 'value': 1837000.0}
 {'time': '2024-09-23', 'value': 1838500.0}
 {'time': '2024-09-24', 'value': 1838500.0}]"
105,I,NL | 3 BR,2024-09-24,North (D25-28),AN3,1436000.0,-0.007754166257837425,1369.0,0.006617647058823506,867,-0.01477272727272727,21.0,"[{'time': '2024-09-18', 'value': 1364.0}
 {'time': '2024-09-19', 'value': 1366.0}
 {'time': '2024-09-20', 'value': 1369.0}
 {'time': '2024-09-21', 'value': 1365.5}
 {'time': '2024-09-22', 'value': 1368.5}
 {'time': '2024-09-23', 'value': 1373.0}
 {'time': '2024-09-24', 'value': 1369.0}]","[{'time': '2024-09-18', 'value': 883} {'time': '2024-09-19', 'value': 888}
 {'time': '2024-09-20', 'value': 883} {'time': '2024-09-21', 'value': 876}
 {'time': '2024-09-22', 'value': 870} {'time': '2024-09-23', 'value': 866}
 {'time': '2024-09-24', 'value': 867}]","[{'time': '2024-09-18', 'value': 1443000.0}
 {'time': '2024-09-19', 'value': 1437444.0}
 {'time': '2024-09-20', 'value': 1444444.0}
 {'time': '2024-09-21', 'value': 1437444.0}
 {'time': '2024-09-22', 'value': 1440000.0}
 {'time': '2024-09-23', 'value': 1443722.0}
 {'time': '2024-09-24', 'value': 1436000.0}]"
107,A,NL | 4 BR,2024-09-24,City & South West (D01-08),AN4,5304500.0,-0.003849765258216009,2263.5,-0.007236842105263208,1152,-0.03759398496240607,21.0,"[{'time': '2024-09-18', 'value': 2280.0}
 {'time': '2024-09-19', 'value': 2280.0}
 {'time': '2024-09-20', 'value': 2280.0}
 {'time': '2024-09-21', 'value': 2280.0}
 {'time': '2024-09-22', 'value': 2276.0}
 {'time': '2024-09-23', 'value': 2273.5}
 {'time': '2024-09-24', 'value': 2263.5}]","[{'time': '2024-09-18', 'value': 1197}
 {'time': '2024-09-19', 'value': 1203}
 {'time': '2024-09-20', 'value': 1190}
 {'time': '2024-09-21', 'value': 1199}
 {'time': '2024-09-22', 'value': 1183}
 {'time': '2024-09-23', 'value': 1178}
 {'time': '2024-09-24', 'value': 1152}]","[{'time': '2024-09-18', 'value': 5325000.0}
 {'time': '2024-09-19', 'value': 5325000.0}
 {'time': '2024-09-20', 'value': 5325000.0}
 {'time': '2024-09-21', 'value': 5325000.0}
 {'time': '2024-09-22', 'value': 5325000.0}
 {'time': '2024-09-23', 'value': 5325000.0}
 {'time': '2024-09-24', 'value': 5304500.0}]"
